file,geographic_coverage,possible_issue,evidence_categories,mime_type,thumbnail_http_status,commons_file_page
New Hampshire in United States (zoom) (US48).svg,"New Hampshire, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Hampshire_in_United_States_(zoom)_(US48).svg
New Hampshire in United States (zoom).svg,"New Hampshire, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Hampshire_in_United_States_(zoom).svg
New Hampshire in United States.svg,"New Hampshire, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Hampshire_in_United_States.svg
New Jersey in United States (US48).svg,"New Jersey, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Jersey_in_United_States_(US48).svg
New Jersey in United States (zoom) (US48).svg,"New Jersey, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Jersey_in_United_States_(zoom)_(US48).svg
New Jersey in United States (zoom).svg,"New Jersey, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Jersey_in_United_States_(zoom).svg
New Jersey in United States.svg,"New Jersey, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Jersey_in_United_States.svg
New Mexico in United States.svg,"New Mexico, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Mexico_in_United_States.svg
New York in United States (US48).svg,"New York, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_York_in_United_States_(US48).svg
New Zealand locator map blank.svg,New Zealand,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Zealand_locator_map_blank.svg
New Zealand on the globe (Oceania centered).svg,New Zealand,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:New_Zealand_on_the_globe_(Oceania_centered).svg
Newport in Wales.svg,"Newport, Wales",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Wales,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Newport_in_Wales.svg
Nghe An in Viet Nam.svg,"Nghe An, Viet Nam",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nghe_An_in_Viet_Nam.svg
Nghe An in Vietnam before 1 July 2025.svg,"Nghe An, Vietnam before 1 July 2025",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nghe_An_in_Vietnam_before_1_July_2025.svg
Niari in Congo.svg,"Niari, Congo",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Niari_in_Congo.svg
Niassa in Mozambique.svg,"Niassa, Mozambique",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Niassa_in_Mozambique.svg
Niederösterreich in Austria.svg,"Niederösterreich, Austria",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-Austria,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nieder%C3%B6sterreich_in_Austria.svg
Niigata in Japan (extended).svg,"Niigata, Japan (extended)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Niigata_in_Japan_(extended).svg
Niigata in Japan (narrow).svg,"Niigata, Japan (narrow)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Niigata_in_Japan_(narrow).svg
Niigata in Japan.svg,"Niigata, Japan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Japanese prefecture maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Niigata_in_Japan.svg
