finding_type,file_a,file_b,geographic_coverage,evidence
matching normalized filename and similar aspect ratio (review visually),Provincia de Buenos Aires (Argentina) - svg.svg,Provincia de Buenos Aires (Argentina).svg,argentina,shared normalized name key “aires argentina buenos de provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Catamarca (Argentina) - svg.svg,Provincia de Catamarca (Argentina).svg,argentina,shared normalized name key “argentina catamarca de provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Chubut (Argentina).png,Provincia de Chubut (Argentina).svg,argentina,shared normalized name key “argentina chubut de provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Corrientes (Argentina) - svg.svg,Provincia de Corrientes (Argentina).svg,argentina,shared normalized name key “argentina corrientes de provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Córdoba (Argentina) - svg.svg,Provincia de Córdoba (Argentina).svg,argentina,shared normalized name key “argentina c de provincia rdoba”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Entre Ríos (Argentina) - svg.svg,Provincia de Entre Ríos (Argentina).svg,argentina,shared normalized name key “argentina de entre os provincia r”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Formosa (Argentina) - svg.svg,Provincia de Formosa (Argentina).svg,argentina,shared normalized name key “argentina de formosa provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de Jujuy (Argentina) - svg.svg,Provincia de Jujuy (Argentina).svg,argentina,shared normalized name key “argentina de jujuy provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de La Pampa (Argentina) - svg.svg,Provincia de La Pampa (Argentina).svg,argentina,shared normalized name key “argentina de la pampa provincia”; relative aspect-ratio difference 3.0%
matching normalized filename and similar aspect ratio (review visually),Provincia de La Rioja (Argentina) - svg.svg,Provincia de La Rioja (Argentina).svg,argentina,shared normalized name key “argentina de la provincia rioja”; relative aspect-ratio difference 3.0%
